@RELATION data/trained_models/paaSVC1
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {snore,non-snore}

@DATA
0.032137,0.023630,2.728572,0.210748,0.291835,0.094842,0.018877,0.003501,-28.210934,2.327082,0.615948,0.539393,0.275699,0.220052,0.199836,0.234110,0.089191,0.145918,0.095251,0.094219,0.047457,0.001080,0.000143,0.070035,0.000665,0.048151,0.000421,0.251272,0.000077,0.000354,0.001849,0.011964,0.000145,0.076785,0.016765,0.014988,0.218893,0.022119,0.010263,0.052223,0.013830,0.001778,0.894563,0.148285,0.212242,0.143374,0.130782,0.116463,0.142534,0.139325,0.132240,0.127589,0.120527,0.120655,0.118054,0.001299,0.000151,0.058685,0.000778,0.034272,0.000441,0.106404,0.000089,0.000422,0.002179,0.012154,0.000150,0.022475,snore
0.040808,0.022906,2.794291,0.241213,0.306536,0.128148,0.011709,0.004620,-27.603265,2.320889,0.704087,0.587515,0.315610,0.202917,0.163249,0.232816,0.123896,0.187991,0.163761,0.147765,0.053265,0.001516,0.000174,0.068280,0.000664,0.040294,0.000523,0.232275,0.000091,0.000780,0.010124,0.023191,0.000180,0.072877,0.023345,0.015280,0.215887,0.032615,0.012563,0.073043,0.007347,0.002183,0.848908,0.252484,0.199079,0.149016,0.140510,0.129775,0.134209,0.132435,0.133034,0.138554,0.135403,0.126570,0.133127,0.001364,0.000165,0.062039,0.000704,0.031461,0.000485,0.106691,0.000086,0.000847,0.013197,0.021084,0.000176,0.022643,snore
0.057364,0.015432,2.797073,0.273334,0.314492,0.210993,0.007697,0.006016,-28.037296,2.142921,0.717771,0.625205,0.380458,0.250597,0.213758,0.259769,0.128779,0.147820,0.110796,0.101334,0.027834,0.001958,0.000209,0.082014,0.001084,0.044200,0.000610,0.199302,0.000118,0.000485,0.008514,0.029717,0.000256,0.064850,0.025112,0.010446,0.219825,0.026958,0.008281,0.096980,0.005061,0.004189,0.627786,0.229294,0.168860,0.146057,0.137510,0.134101,0.144872,0.149930,0.140601,0.132845,0.127918,0.127067,0.130156,0.001699,0.000187,0.063740,0.001022,0.030278,0.000599,0.092720,0.000096,0.000428,0.007138,0.025686,0.000245,0.019144,snore
0.052395,0.013398,2.740408,0.262156,0.313605,0.160256,0.009562,0.004463,-28.095536,2.141373,0.693971,0.589912,0.390277,0.302435,0.244376,0.270622,0.137876,0.176519,0.105394,0.074149,0.000712,0.001400,0.000170,0.070465,0.000678,0.043882,0.000437,0.239039,0.000092,0.000321,0.006131,0.019082,0.000192,0.072321,0.022792,0.011628,0.249016,0.026199,0.009799,0.070377,0.006333,0.001534,0.633339,0.237607,0.192427,0.153267,0.126032,0.144144,0.144964,0.135930,0.140192,0.120486,0.131950,0.140374,0.139413,0.001421,0.000155,0.052526,0.000620,0.033029,0.000414,0.103425,0.000076,0.000404,0.009785,0.019111,0.000174,0.022326,snore
0.032379,0.048393,2.811369,0.219185,0.297702,0.085744,0.013254,0.004739,-26.735597,2.387131,0.664774,0.590425,0.324832,0.228089,0.168568,0.212093,0.086723,0.132881,0.101516,0.081521,0.016220,0.001133,0.000129,0.066000,0.000542,0.029960,0.000472,0.253093,0.000077,0.003314,0.027168,0.009290,0.000138,0.078300,0.021062,0.031216,0.238419,0.035915,0.016976,0.053337,0.010581,0.002602,1.162269,0.311904,0.209527,0.143199,0.152293,0.159334,0.146550,0.122595,0.149034,0.125564,0.132845,0.119625,0.125530,0.001288,0.000127,0.060148,0.000587,0.025887,0.000486,0.111895,0.000079,0.003714,0.024594,0.009130,0.000144,0.023905,snore
0.031562,0.020785,2.831283,0.216570,0.295417,0.091844,0.012222,0.004707,-27.802868,2.422324,0.695394,0.598142,0.322185,0.246606,0.221183,0.284316,0.111773,0.168017,0.101774,0.089796,0.025964,0.001403,0.000170,0.065011,0.000582,0.028738,0.000477,0.264130,0.000074,0.001449,0.017266,0.018368,0.000157,0.079058,0.016189,0.012449,0.222937,0.028979,0.013734,0.048513,0.008117,0.001928,0.884426,0.260239,0.188256,0.154950,0.155622,0.146879,0.145821,0.150135,0.147726,0.131615,0.128271,0.134318,0.122247,0.001291,0.000162,0.053650,0.000553,0.024104,0.000581,0.097719,0.000073,0.002383,0.015260,0.018113,0.000161,0.021050,snore
0.038601,0.030582,2.888037,0.228487,0.294629,0.131930,0.009475,0.005850,-27.839246,2.420903,0.704829,0.603139,0.291720,0.177263,0.169015,0.246470,0.060206,0.146686,0.107778,0.074317,0.010119,0.001510,0.000206,0.057709,0.000714,0.031258,0.000732,0.223615,0.000098,0.004306,0.031869,0.018377,0.000228,0.071360,0.020484,0.019146,0.233127,0.036307,0.017093,0.072317,0.006842,0.003009,1.025706,0.365871,0.210976,0.188985,0.163167,0.156868,0.160331,0.154434,0.137156,0.143936,0.151105,0.140379,0.126197,0.001545,0.000201,0.051287,0.000685,0.024983,0.000742,0.100648,0.000089,0.004885,0.025574,0.016638,0.000241,0.020936,snore
0.032116,0.043354,2.890028,0.213327,0.292750,0.094500,0.012155,0.005668,-26.692992,2.551390,0.723431,0.673442,0.351628,0.229244,0.189655,0.256709,0.093197,0.137679,0.100624,0.070833,0.010546,0.001616,0.000219,0.054591,0.000791,0.033560,0.000779,0.215263,0.000087,0.002804,0.030901,0.020390,0.000188,0.067996,0.019238,0.031110,0.224724,0.036773,0.018809,0.055075,0.008562,0.002319,1.166295,0.335764,0.223398,0.177296,0.149188,0.148731,0.142461,0.142565,0.138827,0.140375,0.143643,0.130589,0.117601,0.001390,0.000217,0.049531,0.000676,0.027352,0.000795,0.103380,0.000089,0.003264,0.027245,0.018958,0.000184,0.022218,snore
0.037160,0.033286,2.901622,0.216181,0.289582,0.111514,0.009437,0.006887,-27.333648,2.578946,0.719377,0.605665,0.251655,0.132666,0.126303,0.236573,0.041187,0.143750,0.115169,0.078618,0.008350,0.001844,0.000238,0.053107,0.000839,0.030003,0.000945,0.195302,0.000088,0.007571,0.046562,0.016291,0.000297,0.065954,0.020529,0.022259,0.222914,0.037885,0.019198,0.067894,0.006571,0.003648,1.146837,0.343914,0.221080,0.167731,0.164703,0.169907,0.158235,0.131489,0.152623,0.148277,0.133362,0.141156,0.140074,0.001652,0.000243,0.051758,0.000758,0.024557,0.001019,0.106501,0.000073,0.007017,0.029885,0.014242,0.000381,0.021856,snore
0.051007,0.023443,2.742172,0.264737,0.314363,0.170471,0.011246,0.004086,-27.906536,2.099379,0.628721,0.564995,0.337073,0.262544,0.245184,0.255591,0.128489,0.144840,0.106946,0.064997,0.048739,0.000920,0.000193,0.075976,0.000638,0.038746,0.000412,0.256983,0.000091,0.000257,0.002021,0.020424,0.000160,0.078668,0.025646,0.013365,0.223618,0.026841,0.007608,0.089397,0.007831,0.002411,0.627444,0.171022,0.164717,0.140562,0.132587,0.122076,0.132036,0.136277,0.135751,0.117464,0.114368,0.111773,0.119100,0.000978,0.000181,0.065564,0.000681,0.030916,0.000413,0.107286,0.000085,0.000235,0.002088,0.020269,0.000150,0.022396,snore
0.032216,0.021114,2.777967,0.227637,0.301978,0.095875,0.016178,0.003634,-28.078806,2.249572,0.591761,0.574998,0.333867,0.288886,0.234515,0.240758,0.113393,0.127335,0.095110,0.095692,0.068197,0.000954,0.000126,0.069815,0.000505,0.029867,0.000388,0.289622,0.000072,0.000326,0.005473,0.014222,0.000143,0.085437,0.020745,0.013928,0.218000,0.030326,0.013337,0.059195,0.011955,0.002141,0.965801,0.259115,0.192850,0.145432,0.140607,0.127387,0.119622,0.131615,0.121653,0.118410,0.125178,0.127085,0.121324,0.001035,0.000140,0.061523,0.000563,0.026708,0.000441,0.108411,0.000075,0.000518,0.007287,0.014202,0.000160,0.023804,snore
0.037750,0.031755,2.847870,0.236032,0.302581,0.123180,0.012807,0.004946,-27.491001,2.371397,0.714405,0.603863,0.339808,0.213425,0.139093,0.232237,0.122156,0.140837,0.058649,0.052217,0.009833,0.001518,0.000290,0.058946,0.000831,0.032118,0.000885,0.266158,0.000084,0.000733,0.007761,0.012072,0.000270,0.078165,0.020549,0.022031,0.200974,0.032743,0.013410,0.073734,0.009346,0.002940,0.910061,0.305642,0.206133,0.159382,0.166426,0.154889,0.151323,0.153771,0.140812,0.138569,0.138128,0.127701,0.131116,0.001812,0.000397,0.052229,0.001038,0.027397,0.000875,0.100983,0.000076,0.001392,0.009192,0.011849,0.000379,0.022733,snore
0.027291,0.028893,2.755836,0.203631,0.290000,0.073434,0.017831,0.003346,-27.833675,2.358113,0.593449,0.547274,0.285177,0.220643,0.192841,0.253248,0.139091,0.171112,0.079002,0.048477,0.000353,0.000942,0.000171,0.082713,0.000497,0.027814,0.000575,0.293924,0.000066,0.000268,0.001978,0.012944,0.000209,0.088142,0.015970,0.017257,0.236372,0.026806,0.013665,0.039959,0.013467,0.001694,0.979530,0.229948,0.213175,0.156349,0.148003,0.130180,0.145791,0.133242,0.125214,0.134218,0.117061,0.119257,0.111766,0.001083,0.000199,0.075066,0.000594,0.026261,0.000772,0.104694,0.000068,0.000316,0.002502,0.014739,0.000287,0.021836,snore
0.039161,0.031738,2.866289,0.234265,0.299675,0.128907,0.010191,0.005767,-27.618015,2.394046,0.692848,0.556264,0.293655,0.186514,0.155518,0.255847,0.115668,0.137142,0.076407,0.041530,0.000803,0.001566,0.000208,0.066497,0.000726,0.026751,0.000613,0.247757,0.000102,0.002783,0.021581,0.010998,0.000317,0.075478,0.022380,0.022480,0.210305,0.034527,0.014554,0.078302,0.007579,0.003837,0.963737,0.365909,0.222682,0.159802,0.169853,0.174776,0.171798,0.137630,0.129893,0.137813,0.142556,0.135834,0.137548,0.001679,0.000204,0.061079,0.000756,0.024840,0.000604,0.095284,0.000116,0.004579,0.020652,0.011345,0.000420,0.020411,snore
0.032817,0.036662,2.811480,0.226035,0.299039,0.103093,0.012428,0.004726,-27.028817,2.405897,0.557436,0.569456,0.319519,0.216160,0.198497,0.236954,0.097527,0.157410,0.107072,0.093202,0.021650,0.001406,0.000167,0.071715,0.000712,0.032290,0.000448,0.234486,0.000097,0.001357,0.021680,0.022207,0.000239,0.075042,0.019218,0.017701,0.212370,0.030274,0.012432,0.062707,0.007294,0.002547,0.789532,0.238989,0.156905,0.133392,0.124372,0.122894,0.134684,0.122371,0.115379,0.122320,0.109334,0.104259,0.118365,0.001330,0.000128,0.056374,0.000533,0.027819,0.000338,0.098295,0.000093,0.001406,0.010679,0.022508,0.000186,0.020564,snore
0.036195,0.024430,2.872387,0.225350,0.295402,0.118347,0.010925,0.005794,-27.900313,2.440555,0.634950,0.578942,0.302975,0.214010,0.171760,0.228081,0.092313,0.151105,0.079531,0.057542,0.000963,0.002002,0.000184,0.071732,0.000771,0.030573,0.000543,0.208565,0.000118,0.002494,0.034843,0.020570,0.000264,0.070707,0.022157,0.016626,0.224343,0.036721,0.016861,0.071912,0.007919,0.003671,1.077291,0.343375,0.194114,0.153207,0.152184,0.147756,0.156114,0.144121,0.140308,0.139067,0.133271,0.129354,0.131066,0.001740,0.000181,0.061587,0.000692,0.026887,0.000502,0.103966,0.000108,0.003317,0.028651,0.017838,0.000304,0.021036,snore
0.027983,0.016813,2.827505,0.200357,0.285135,0.085292,0.013486,0.005902,-28.299768,2.356754,0.613777,0.623998,0.311768,0.232211,0.203475,0.254034,0.102364,0.134858,0.093709,0.065763,0.001681,0.001320,0.000176,0.066830,0.000616,0.027922,0.000435,0.261589,0.000098,0.001834,0.022543,0.012371,0.000199,0.080137,0.017449,0.011568,0.221901,0.032039,0.019184,0.057339,0.009568,0.005483,1.108684,0.392803,0.195009,0.179464,0.156984,0.152460,0.159378,0.153732,0.145197,0.143248,0.131970,0.134348,0.131502,0.001345,0.000221,0.056596,0.000650,0.024567,0.000454,0.107251,0.000116,0.002888,0.021359,0.011753,0.000259,0.022713,snore
0.031241,0.031502,2.830612,0.202091,0.283470,0.102348,0.014388,0.007868,-27.045224,2.325671,0.555345,0.554781,0.230442,0.232119,0.221171,0.281805,0.107912,0.104477,0.045041,0.048068,0.019136,0.001288,0.000234,0.073079,0.000727,0.030683,0.000489,0.229365,0.000153,0.003746,0.028717,0.014260,0.000220,0.073786,0.018359,0.020561,0.222770,0.031134,0.018843,0.071238,0.010692,0.007425,1.116870,0.411369,0.203957,0.183025,0.164741,0.157237,0.156300,0.162190,0.145001,0.149556,0.128638,0.126433,0.131746,0.001276,0.000248,0.060621,0.000687,0.027467,0.000475,0.106514,0.000162,0.004611,0.022666,0.013674,0.000230,0.021398,snore
0.028872,0.035978,2.835654,0.198172,0.284724,0.083568,0.013653,0.006803,-27.140900,2.518050,0.618629,0.594282,0.297165,0.244857,0.184647,0.253394,0.114489,0.157708,0.092225,0.064938,0.041823,0.001108,0.000165,0.067448,0.000582,0.025375,0.000415,0.244063,0.000121,0.002941,0.028059,0.022316,0.000220,0.075942,0.016448,0.023244,0.226025,0.032010,0.017953,0.060297,0.009394,0.007554,1.101073,0.365650,0.212403,0.166043,0.160062,0.131760,0.163557,0.146895,0.137367,0.142765,0.128586,0.128917,0.129347,0.001141,0.000179,0.062240,0.000579,0.022559,0.000454,0.105908,0.000143,0.003834,0.027074,0.020449,0.000266,0.021503,snore
0.037262,0.029814,2.886473,0.227215,0.293917,0.119553,0.009538,0.005399,-27.064764,2.432102,0.650391,0.589802,0.317237,0.277469,0.203580,0.254263,0.124086,0.140198,0.062530,0.021662,-0.014865,0.001864,0.000251,0.077029,0.000703,0.028850,0.000560,0.196914,0.000123,0.002056,0.043089,0.014759,0.000230,0.068105,0.020438,0.017038,0.207752,0.033151,0.014864,0.063583,0.007058,0.002347,0.993765,0.333274,0.197858,0.162967,0.150087,0.157572,0.152407,0.150023,0.118763,0.135364,0.132284,0.127291,0.132761,0.001468,0.000242,0.066129,0.000524,0.025318,0.000442,0.117630,0.000129,0.003283,0.032018,0.013446,0.000209,0.023179,snore
0.041387,0.024238,2.881312,0.230263,0.295194,0.131835,0.009591,0.005751,-27.641352,2.483585,0.707071,0.620415,0.329558,0.228854,0.176009,0.285713,0.108943,0.142602,0.062679,-0.011499,-0.034604,0.001886,0.000286,0.062437,0.000700,0.034320,0.000602,0.204383,0.000128,0.002585,0.036384,0.013016,0.000252,0.067822,0.022850,0.016278,0.206972,0.034884,0.015705,0.073025,0.006669,0.002264,0.994482,0.317674,0.200921,0.159977,0.156263,0.154883,0.161906,0.157268,0.134889,0.155388,0.143231,0.133364,0.123475,0.001763,0.000347,0.053219,0.000584,0.026806,0.000544,0.096514,0.000120,0.002800,0.030130,0.011060,0.000296,0.019747,snore
0.037382,0.013454,2.824888,0.226052,0.295771,0.117996,0.011292,0.005527,-28.616398,2.444821,0.656196,0.588226,0.313171,0.252470,0.207546,0.300532,0.143912,0.137426,0.055933,0.009865,-0.012996,0.002158,0.000513,0.070337,0.000826,0.033895,0.000524,0.234710,0.000087,0.000584,0.016733,0.018932,0.000285,0.073090,0.018953,0.007372,0.220580,0.028003,0.012474,0.064103,0.007908,0.004019,0.878823,0.251613,0.187184,0.151196,0.141773,0.134217,0.153265,0.155749,0.132155,0.133742,0.119615,0.130621,0.123440,0.001817,0.000640,0.060031,0.000802,0.026411,0.000499,0.104653,0.000077,0.000883,0.016297,0.016630,0.000314,0.021562,snore
